136,3804,2352,15700,-137,-25,-14,170,165,339,34.68042,
137,3820,2332,15752,-153,40,-24,163,174,337,34.58457,
138,3760,2300,15860,-69,-43,-144,159,177,346,34.68042,
139,3920,2216,15704,-99,78,-59,151,172,341,34.39288,
140,3820,2256,15640,-108,-6,-52,159,170,344,34.58457,
141,3816,2344,15872,-73,-89,-49,170,177,344,34.72834,
142,3936,2308,15692,-150,113,-39,166,179,342,34.68042,
143,3888,2280,15636,-85,36,-82,166,181,347,34.68042,
144,3768,2332,15720,-55,-92,-81,157,177,329,34.39288,
145,3752,2224,15844,-97,-118,-36,169,176,347,34.58457,
146,3804,2352,15944,-116,65,-59,170,180,349,34.72834,
147,3732,2192,15716,-94,71,-124,171,179,337,34.68042,
148,3784,2168,15792,-87,-36,-101,169,171,335,34.48872,
149,3720,2224,15944,-84,-234,-88,153,171,342,34.39288,
150,3808,2328,15780,-135,-51,-11,159,177,339,34.72834,
151,3824,2408,15580,-114,-43,14,159,172,339,34.68042,
152,3764,2380,15908,-132,-14,-41,163,176,345,34.68042,
153,3796,2276,15764,-217,169,-71,163,183,335,34.48872,
154,3712,2208,15584,-113,207,-16,163,171,332,34.53665,
155,3844,2280,15512,-106,197,-43,170,175,349,34.39288,
156,3808,2264,15712,-188,130,-49,159,170,341,34.68042,
157,3696,2244,15820,-169,-7,-34,163,174,345,34.68042,
158,3672,2184,15932,-135,-53,-23,167,172,346,34.58457,
159,3752,2148,15732,-74,15,-95,159,163,329,34.58457,
160,3744,2152,15740,-27,-52,-98,166,171,332,34.53665,
161,3832,2272,15844,-28,-11,-87,155,171,352,34.8721,
162,3804,2352,15756,-6,-14,-68,158,166,350,34.77626,
163,3716,2092,15812,59,-152,-246,159,172,344,34.68042,
164,3824,2332,15632,39,23,-113,161,174,340,34.34496,
165,3920,2520,15576,131,13,19,169,179,345,34.68042,
166,3620,2456,15912,326,-559,-154,171,176,335,34.77626,
167,3864,2448,15640,80,142,-2,163,169,340,34.48872,
168,3932,2608,15468,-17,337,37,159,170,331,34.53665,
169,3988,2572,15856,187,390,809,163,174,342,34.24911,
170,3472,2684,15844,517,-648,1042,163,183,337,34.68042,
171,3828,2552,15636,476,-385,2242,154,170,331,34.58457,
172,4244,2724,15244,328,774,3544,157,182,326,34.72834,
173,4208,1824,16268,755,-1871,3156,154,180,336,34.68042,
174,5664,2692,16732,709,-4531,8094,142,181,332,34.48872,
175,4400,64,12920,1363,5314,4580,101,182,331,34.68042,
176,4608,480,17292,1353,-30,1765,113,171,315,34.72834,
177,5096,2024,15920,1761,1478,-2248,124,186,310,34.72834,
178,4044,4928,15132,567,2276,5369,109,175,316,34.48872,
179,3568,2148,16644,789,-683,4170,114,185,306,34.48872,
180,3948,2452,15476,296,-402,-950,112,190,319,34.58457,
181,4088,1128,14644,191,1159,-8949,101,185,316,34.53665,
182,4036,2576,15472,1816,1984,-4650,116,183,315,34.72834,
183,2460,1324,16536,1715,186,-11814,143,195,321,34.58457,
184,2164,3764,15420,-204,-1412,-12776,162,192,316,34.48872,
185,1936,4952,15228,710,928,-8384,180,195,319,34.58457,
186,-5036,18340,27916,971,-2336,-4826,207,197,321,34.53665,
187,1568,2608,15392,983,-3638,-11855,229,188,322,34.68042,
188,1464,4396,15856,2005,1258,-4138,220,190,334,34.68042,
189,2308,7048,15952,-3840,-4046,-8941,245,181,335,34.39288,
190,996,4728,16236,-858,-4436,-4263,252,160,358,34.72834,
191,1364,2916,15788,2300,-3180,-2221,248,147,367,34.68042,
192,3180,4328,14928,-1621,952,-4815,242,134,380,34.8721,
193,540,4380,17140,4462,3693,-3637,256,144,385,34.58457,
194,396,4508,15292,-1865,2426,-3852,261,147,375,34.53665,
195,40,5328,14608,-945,1515,-4460,279,142,377,34.68042,
196,-536,5076,14752,-133,1031,-2629,293,139,370,34.53665,
197,-408,5088,15072,-507,1061,-534,295,134,367,34.58457,
198,-1360,4728,15556,-256,-40,373,291,133,381,34.68042,
199,-724,5268,15104,99,-2368,-3033,294,138,371,34.39288,
200,-108,4912,15376,435,3040,-2334,293,115,382,34.68042,
201,-488,4448,17860,-5326,-2149,1720,303,122,372,34.58457,
202,-820,4408,16844,-251,-2925,1571,303,100,370,34.58457,
203,-928,4580,13736,-9566,1746,1550,295,95,367,34.58457,
204,292,56,15988,-1660,-1168,-1771,287,98,375,34.48872,
205,300,992,17640,1224,-3124,-3013,291,96,378,34.53665,
206,-1928,3180,19384,-821,-4047,938,286,74,371,34.72834,
207,676,716,14944,-1534,-1821,-26,283,79,376,34.72834,
208,1008,600,14888,-3361,1408,-1442,274,68,395,34.58457,
209,248,2540,16268,600,539,62,264,83,380,34.39288,
210,176,3692,14996,-1723,2084,1099,279,76,387,34.68042,
211,640,728,16220,471,152,-686,282,90,377,34.68042,
212,-52,2312,16400,-66,-32,634,281,77,388,34.72834,
213,264,1760,16300,861,381,-119,278,72,383,34.77626,
214,-252,2004,16440,337,-72,260,278,69,386,34.39288,
215,200,2236,15628,-834,808,210,273,79,388,34.68042,
216,32,1828,15912,127,157,29,285,68,380,34.68042,
217,8,1936,16344,445,-303,-184,283,74,383,34.68042,
218,-96,2136,16332,476,-274,366,278,82,383,34.72834,
219,72,1772,15896,-373,4,359,279,71,382,34.24911,
220,396,1428,15796,-195,2,171,290,76,390,34.68042,
221,508,1324,15860,-377,621,-416,281,69,378,34.68042,
222,212,1772,16228,-893,518,-138,287,73,390,34.68042,
223,-200,1684,16824,321,85,-282,282,78,395,34.53665,
224,-84,2348,16000,-588,323,-94,287,85,377,34.39288,
225,-88,1872,16076,-307,285,-147,285,85,377,34.72834,
226,-20,1964,15856,-1174,500,-787,285,85,377,34.72834,
227,-772,2980,17216,413,-1186,232,287,85,375,34.92003,
228,28,1704,16408,-93,-343,155,291,84,378,34.68042,
229,92,2252,16024,163,-50,181,289,74,373,34.20119,
230,-60,2172,16124,-215,-5,18,285,88,380,34.48872,
231,184,1872,16424,188,8,-236,286,72,383,34.68042,
232,-36,1836,16416,97,-240,83,281,79,388,34.72834,
233,4,2336,16220,14,-104,192,281,72,381,34.77626,
234,68,2192,16032,-278,-196,112,281,79,376,34.48872,
235,392,1680,16116,-133,-306,220,271,68,385,34.53665,
236,196,2388,16052,-276,121,209,283,77,378,34.72834,
237,160,1928,16048,151,35,1,275,79,383,34.72834,
238,192,2060,16072,-45,73,-119,281,79,381,34.68042,
239,80,2012,16120,-304,115,141,278,84,388,34.20119,
240,332,1504,16236,-59,-221,-514,277,83,387,34.72834,
241,84,2300,16132,-152,-215,11,274,78,387,34.72834,
242,352,1940,16120,106,0,-155,277,80,385,34.77626,
243,296,1704,16048,-146,80,-180,277,80,385,34.72834,
244,260,2036,16384,-300,-20,-50,274,80,380,34.39288,
245,400,1928,15776,-769,390,99,283,84,383,34.53665,
246,136,1564,16696,74,-730,-525,271,80,377,34.68042,
247,248,1808,16560,-43,-426,-489,277,80,382,34.72834,
248,468,1788,16108,-212,191,-116,271,83,382,34.58457,
249,228,2112,15856,-337,232,267,275,77,378,34.58457,
250,236,2104,16008,-83,41,-41,271,80,377,34.68042,
251,212,2300,15964,174,114,98,282,76,387,34.72834,
252,256,2060,15992,52,-225,-192,278,79,386,34.53665,
253,404,1840,16256,-242,-179,-101,270,79,378,34.68042,
254,276,1940,16264,487,27,25,268,77,381,34.39288,
255,284,2200,16160,-145,139,93,285,85,385,34.53665,
256,376,2156,16092,-351,169,-183,274,83,380,34.48872,
257,156,2168,16164,-465,-11,41,275,79,391,34.58457,
258,216,2052,16380,291,-101,-118,286,84,388,34.72834,
259,308,1812,16300,-174,-217,-443,287,85,387,34.53665,
260,276,1792,16376,27,-150,-185,285,88,382,34.72834,
261,196,2292,16072,222,-173,-261,274,76,392,34.68042,
262,228,1784,15944,-154,72,-350,283,89,391,34.58457,
263,312,2032,16284,-150,-49,-82,274,76,387,34.68042,
264,272,1832,16460,-155,-63,-181,278,87,383,34.39288,
265,236,1928,16232,-104,114,-69,278,87,376,34.72834,
266,300,2064,16036,-332,9,-109,279,85,390,34.72834,
267,340,2132,16180,403,-8,-101,277,83,380,34.58457,
268,152,2356,16292,-36,34,47,277,85,372,34.58457,
269,60,2068,16504,115,-52,11,275,79,386,34.39288,
270,84,2296,16480,-341,-51,202,281,87,388,34.92003,
271,252,2008,16336,263,-164,-310,271,88,380,34.68042,
272,272,2232,15896,-141,64,-135,289,82,381,34.68042,
273,288,2300,15876,-507,69,-56,282,85,387,34.72834,
274,340,2292,15740,-226,374,78,271,78,390,34.58457,
275,208,2188,15936,-123,47,-20,283,79,378,34.72834,
276,56,2200,16692,-13,-316,108,282,90,382,34.58457,
277,200,2088,16424,-234,-136,-66,283,82,381,34.68042,
278,228,2020,16132,-237,-178,-155,275,87,383,34.72834,
279,284,2224,16108,137,-53,-273,282,95,380,34.53665,
280,244,2008,16128,78,40,-193,283,82,381,34.58457,
